# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
http-in,FRONTEND,,,1,22,3000,16824,7959795,155022589,0,0,2118,,,,,OPEN,,,,,,,,,1,2,0,,,,0,1,0,16,,,,0,1723,14094,2118,0,0,,1,16,17936,,,0,0,0,0,,,,,,,,
https-in,FRONTEND,,,106,216,3000,155542,2736346819,7688763807,0,0,52350,,,,,OPEN,,,,,,,,,1,3,0,,,,0,3,0,39,,,,0,1194680,91381,62598,1647,300,,20,105,1350698,,,0,0,0,0,,,,,,,,
default400,BACKEND,0,0,0,1,300,885,310817,161955,0,0,,885,0,0,0,UP,0,0,0,,0,200989,0,,1,4,0,,0,,1,0,,1,,,,0,0,0,0,885,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
inaportnetdev-servers,webserver1,0,0,0,10,,43213,37845674,92295714,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,5,1,,43213,,2,0,,32,L4OK,,0,48,40535,2365,262,51,0,0,,,,2,0,,,,,674,,,0,0,58,4816,
inaportnetdev-servers,BACKEND,0,0,0,10,300,43213,37845674,92295714,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,5,0,,43213,,1,0,,32,,,,0,40535,2365,262,51,0,,,,,2,0,0,0,0,0,674,,,0,0,58,4816,
gwdev-cluster,webserver1,0,0,0,5,,293,6091725,2709649,,0,,0,0,0,0,UP,1,1,0,85,4,24143,62,,1,6,1,,293,,2,0,,11,L4OK,,2,0,158,98,37,0,0,0,,,,0,0,,,,,64497,,,0,1,312,1968,
gwdev-cluster,BACKEND,0,0,0,5,300,293,6091725,2709649,0,0,,0,0,0,0,UP,1,1,0,,4,24143,62,,1,6,0,,293,,1,0,,11,,,,0,158,98,37,0,0,,,,,0,0,0,0,0,0,64497,,,0,1,312,1968,
inaportnet-servers,webserver1,0,0,1,76,,841268,832780572,2443965128,,0,,0,7,102,3,UP,1,1,0,16,3,24143,55,,1,7,1,,3972,,2,1,,59,L4OK,,0,0,807280,29689,3836,331,0,0,,,,835,8,,,,,0,,,0,1,166,4695,
inaportnet-servers,BACKEND,0,0,1,76,300,841180,832790020,2443968096,0,0,,17,7,102,3,UP,1,1,0,,3,24143,55,,1,7,0,,3972,,1,1,,59,,,,0,807280,29689,3836,349,21,,,,,835,8,0,0,0,0,0,,,0,1,166,4695,
monitoring-servers,checkmk1,0,0,0,6,,8908,6984669,88561305,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,8,1,,8908,,2,0,,79,L4OK,,0,0,7122,1740,44,2,0,0,,,,1,0,,,,,24,,,0,1,9,1483,
monitoring-servers,BACKEND,0,0,0,6,300,8908,6984669,88561305,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,8,0,,8908,,1,0,,79,,,,0,7122,1740,44,2,0,,,,,1,0,0,0,0,0,24,,,0,1,9,1483,
pmo-servers,pmo1,0,0,0,4,,28,19735,452944,,0,,0,0,0,0,UP,1,1,0,0,0,200989,0,,1,9,1,,28,,2,0,,8,L4OK,,0,0,24,4,0,0,0,0,,,,0,0,,,,,79109,,,0,0,1,34,
pmo-servers,BACKEND,0,0,0,4,300,28,19735,452944,0,0,,0,0,0,0,UP,1,1,0,,0,200989,0,,1,9,0,,28,,1,0,,8,,,,0,24,4,0,0,0,,,,,0,0,0,0,0,0,79109,,,0,0,1,34,
ditlala-apps-cluster,s1,0,0,0,8,,16476,9032768,490897975,,0,,0,0,2,0,UP,1,1,0,16,3,24143,58,,1,10,1,,16474,,2,1,,19,L4OK,,0,4,14848,712,867,45,0,0,,,,71,0,,,,,1,,,0,3,355,3972,
ditlala-apps-cluster,BACKEND,0,0,0,8,300,16474,9032768,490897975,0,0,,0,0,2,0,UP,1,1,0,,3,24143,58,,1,10,0,,16474,,1,1,,19,,,,0,14848,712,867,45,2,,,,,71,0,0,0,0,0,1,,,0,3,355,3972,
simlala-ws-cluster,node1,0,0,0,0,,0,0,0,,0,,0,0,0,0,UP,1,1,0,18,3,24144,57,,1,11,1,,0,,2,0,,0,L7OK,200,1,0,0,0,0,0,0,0,,,,0,0,,,,,-1,OK,,0,0,0,0,
simlala-ws-cluster,BACKEND,0,0,0,0,300,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,3,24144,57,,1,11,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
